match_id,radiant_two_ge4,dire_two_ge4,radiant_win,dire_win
8457557659,0,1,0,1
8457560725,0,0,0,1
8457533194,0,0,1,0
8457426924,0,0,1,0
8457556591,0,0,0,1
8457406436,0,0,0,1
8457529519,0,1,0,1
8457448662,0,1,1,0
8457386703,0,0,1,0
8457328936,0,0,0,1
8457152687,0,0,0,1
8457366542,0,0,0,1
8457242815,0,0,0,1
8457210860,0,0,1,0
8457288815,0,0,1,0
8457140335,0,0,0,1
8457079317,0,0,0,1
8457241577,0,0,1,0
8456999603,0,0,1,0
8457023058,0,0,0,1
8457166708,0,0,0,1
8457072819,0,0,0,1
8456909838,0,0,1,0
8457168687,0,0,1,0
8457097249,0,0,1,0
8457234272,0,0,0,1
8456886907,0,0,0,1
8456903685,0,0,0,1
8456785183,0,0,1,0
8456770626,0,0,1,0
8456818862,0,1,0,1
8457000835,0,0,1,0
8456756499,0,0,1,0
8456909637,0,0,0,1
8456979842,0,0,0,1
8456724073,0,0,0,1
8456850900,0,0,0,1
8456693927,0,0,1,0
8456636045,0,0,1,0
8456548929,0,0,1,0
8456877417,0,0,1,0
8456440206,0,0,1,0
8456498646,0,1,0,1
8456589899,0,0,1,0
8456428831,0,0,1,0
8456471541,0,0,1,0
8456408954,0,0,0,1
8456542473,0,0,1,0
8456431126,0,0,1,0
8456399643,0,0,0,1
8456620817,0,0,0,1
8456408416,0,0,1,0
8456378592,0,0,0,1
8456375396,0,0,1,0
8456366338,0,0,0,1
8456356386,0,0,1,0
8456286706,0,0,0,1
8456262886,0,0,1,0
8456265620,1,0,0,1
8456347862,0,0,0,1
8456315651,0,0,0,1
8456327129,0,1,1,0
8456262441,0,0,0,1
8456352881,0,0,0,1
8456321630,0,0,0,1
8456314493,0,0,0,1
8456238532,0,0,0,1
8456288104,1,0,0,1
8456235521,0,0,0,1
8456254854,0,0,1,0
8456212319,0,0,1,0
8456192973,0,0,1,0
8456178213,0,0,1,0
8456123106,1,0,0,1
8456015716,0,0,0,1
8456224956,0,0,0,1
8456038466,0,0,0,1
8456235483,1,0,1,0
8456057560,1,0,1,0
8455963120,0,0,0,1
8455918467,0,0,1,0
8456182834,0,0,0,1
8456080960,0,0,0,1
8455827732,0,0,0,1
8455992969,0,0,0,1
8456100547,0,0,0,1
8455804862,0,0,1,0
8455812517,0,0,1,0
8455694454,0,0,1,0
8455681042,0,0,0,1
8455716362,0,0,0,1
8455665750,0,0,0,1
8455855280,0,0,0,1
8455702489,0,0,1,0
8455663306,0,0,0,1
8455648699,0,0,0,1
8455688050,0,0,0,1
8455556361,0,0,0,1
8455417827,0,0,0,1
8455438225,0,1,0,1
8455439784,0,0,1,0
8455378806,0,0,1,0
8455409002,0,0,1,0
8455530390,0,0,0,1
8455445160,0,0,0,1
8455290596,0,0,1,0
8455467223,0,0,1,0
8455466232,0,0,0,1
8455300588,0,0,1,0
8455192149,0,1,1,0
8455599474,0,0,1,0
8455339348,0,0,0,1
8455588236,0,0,1,0
8455516094,0,0,1,0
8455154554,0,0,0,1
